Unnamed: 0,Country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio,Region,Pop. Density,GDP,Deathrate
745,Argentina,2021-11-01,61812499.0,35223038.0,26610575.0,9,45847428.0,76.82663899924768,LATIN AMER. & CARIB,144.0,11200.0,7.55
744,Argentina,2021-10-31,61514470.0,35042355.0,26528049.0,2,45847428.0,76.43254273718473,LATIN AMER. & CARIB,144.0,11200.0,7.55
746,Argentina,2021-11-02,62132647.0,35350122.0,26756350.0,13,45847428.0,77.10382793992282,LATIN AMER. & CARIB,144.0,11200.0,7.55
738,Argentina,2021-10-25,59824318.0,33919982.0,26011951.0,14,45847428.0,73.9844817467187,LATIN AMER. & CARIB,144.0,11200.0,7.55
747,Argentina,2021-11-03,62481910.0,35491228.0,26917202.0,6,45847428.0,77.41160092993657,LATIN AMER. & CARIB,144.0,11200.0,7.55
743,Argentina,2021-10-30,61364685.0,34924255.0,26502900.0,3,45847428.0,76.17494922506886,LATIN AMER. & CARIB,144.0,11200.0,7.55
737,Argentina,2021-10-24,59460169.0,33668753.0,25897459.0,3,45847428.0,73.43651425768093,LATIN AMER. & CARIB,144.0,11200.0,7.55
730,Argentina,2021-10-17,56957016.0,31821661.0,25228600.0,2,45847428.0,69.40773427900908,LATIN AMER. & CARIB,144.0,11200.0,7.55
735,Argentina,2021-10-22,59098278.0,33388563.0,25815146.0,12,45847428.0,72.82537855776773,LATIN AMER. & CARIB,144.0,11200.0,7.55
778,Argentina,2021-12-04,71140930.0,37598956.0,30985070.0,14,45847428.0,82.00886645157063,LATIN AMER. & CARIB,144.0,11200.0,7.55
734,Argentina,2021-10-21,58635512.0,33040268.0,25698664.0,14,45847428.0,72.06569581176942,LATIN AMER. & CARIB,144.0,11200.0,7.55
733,Argentina,2021-10-20,58216555.0,32752338.0,25564980.0,11,45847428.0,71.43767803070654,LATIN AMER. & CARIB,144.0,11200.0,7.55
732,Argentina,2021-10-19,57802899.0,32434135.0,25466997.0,17,45847428.0,70.74363037333305,LATIN AMER. & CARIB,144.0,11200.0,7.55
731,Argentina,2021-10-18,57379549.0,32120775.0,25354255.0,11,45847428.0,70.060146012989,LATIN AMER. & CARIB,144.0,11200.0,7.55
729,Argentina,2021-10-16,56853456.0,31769679.0,25176959.0,13,45847428.0,69.29435387302424,LATIN AMER. & CARIB,144.0,11200.0,7.55
728,Argentina,2021-10-15,56599892.0,31635411.0,25056949.0,13,45847428.0,69.00149556917347,LATIN AMER. & CARIB,144.0,11200.0,7.55
727,Argentina,2021-10-14,56174208.0,31371747.0,24892429.0,15,45847428.0,68.42640551177702,LATIN AMER. & CARIB,144.0,11200.0,7.55
749,Argentina,2021-11-05,63150692.0,35802470.0,27184504.0,9,45847428.0,78.09046562001254,LATIN AMER. & CARIB,144.0,11200.0,7.55
726,Argentina,2021-10-13,55750356.0,31099979.0,24738126.0,21,45847428.0,67.83363943556441,LATIN AMER. & CARIB,144.0,11200.0,7.55
736,Argentina,2021-10-23,59314570.0,33546624.0,25873868.0,2,45847428.0,73.17013290254799,LATIN AMER. & CARIB,144.0,11200.0,7.55
750,Argentina,2021-11-06,63317251.0,35864691.0,27265907.0,4,45847428.0,78.226178794588,LATIN AMER. & CARIB,144.0,11200.0,7.55
769,Argentina,2021-11-25,68589570.0,37085187.0,29840804.0,19,45847428.0,80.88826051485376,LATIN AMER. & CARIB,144.0,11200.0,7.55
752,Argentina,2021-11-08,63694175.0,36035082.0,27412649.0,21,45847428.0,78.59782668724623,LATIN AMER. & CARIB,144.0,11200.0,7.55
725,Argentina,2021-10-12,55371122.0,30838205.0,24618605.0,14,45847428.0,67.26267174682079,LATIN AMER. & CARIB,144.0,11200.0,7.55
777,Argentina,2021-12-03,70977822.0,37567269.0,30921907.0,22,45847428.0,81.93975243278642,LATIN AMER. & CARIB,144.0,11200.0,7.55
776,Argentina,2021-12-02,70663930.0,37497317.0,30786948.0,22,45847428.0,81.78717680738819,LATIN AMER. & CARIB,144.0,11200.0,7.55
775,Argentina,2021-12-01,70270004.0,37418263.0,30619950.0,20,45847428.0,81.61474837803333,LATIN AMER. & CARIB,144.0,11200.0,7.55
774,Argentina,2021-11-30,69891322.0,37335648.0,30486571.0,6,45847428.0,81.43455288266117,LATIN AMER. & CARIB,144.0,11200.0,7.55
773,Argentina,2021-11-29,69522313.0,37263550.0,30311777.0,14,45847428.0,81.27729651486666,LATIN AMER. & CARIB,144.0,11200.0,7.55
772,Argentina,2021-11-28,69166082.0,37198523.0,30132638.0,10,45847428.0,81.13546304058758,LATIN AMER. & CARIB,144.0,11200.0,7.55
771,Argentina,2021-11-27,69076959.0,37183595.0,30083515.0,9,45847428.0,81.10290287167254,LATIN AMER. & CARIB,144.0,11200.0,7.55
770,Argentina,2021-11-26,68920554.0,37147679.0,30011224.0,18,45847428.0,81.0245647803842,LATIN AMER. & CARIB,144.0,11200.0,7.55
768,Argentina,2021-11-24,68270485.0,37027856.0,29669158.0,27,45847428.0,80.7632131512372,LATIN AMER. & CARIB,144.0,11200.0,7.55
767,Argentina,2021-11-23,67924087.0,36957187.0,29481572.0,24,45847428.0,80.60907364312781,LATIN AMER. & CARIB,144.0,11200.0,7.55
766,Argentina,2021-11-22,67588831.0,36883801.0,29300929.0,7,45847428.0,80.44900795743656,LATIN AMER. & CARIB,144.0,11200.0,7.55
765,Argentina,2021-11-21,67482054.0,36858077.0,29245709.0,7,45847428.0,80.3929001208094,LATIN AMER. & CARIB,144.0,11200.0,7.55
764,Argentina,2021-11-20,67388983.0,36839405.0,29195210.0,11,45847428.0,80.35217373589637,LATIN AMER. & CARIB,144.0,11200.0,7.55
763,Argentina,2021-11-19,67215950.0,36802986.0,29109262.0,14,45847428.0,80.27273852744804,LATIN AMER. & CARIB,144.0,11200.0,7.55
762,Argentina,2021-11-18,66827452.0,36745793.0,28862190.0,15,45847428.0,80.14799216217756,LATIN AMER. & CARIB,144.0,11200.0,7.55
761,Argentina,2021-11-17,66467618.0,36681083.0,28653343.0,16,45847428.0,80.00685011163549,LATIN AMER. & CARIB,144.0,11200.0,7.55
760,Argentina,2021-11-16,66101480.0,36621158.0,28434493.0,23,45847428.0,79.87614485157161,LATIN AMER. & CARIB,144.0,11200.0,7.55
759,Argentina,2021-11-15,65724995.0,36560612.0,28205603.0,13,45847428.0,79.74408509895036,LATIN AMER. & CARIB,144.0,11200.0,7.55
758,Argentina,2021-11-14,65388650.0,36507310.0,28003722.0,3,45847428.0,79.62782557835088,LATIN AMER. & CARIB,144.0,11200.0,7.55
757,Argentina,2021-11-13,65379066.0,36505136.0,27998057.0,7,45847428.0,79.6230837638264,LATIN AMER. & CARIB,144.0,11200.0,7.55
756,Argentina,2021-11-12,65189806.0,36468339.0,27938159.0,18,45847428.0,79.5428240816475,LATIN AMER. & CARIB,144.0,11200.0,7.55
755,Argentina,2021-11-11,64794892.0,36383013.0,27780776.0,12,45847428.0,79.35671549557807,LATIN AMER. & CARIB,144.0,11200.0,7.55
754,Argentina,2021-11-10,64413620.0,36286370.0,27664514.0,9,45847428.0,79.14592286398269,LATIN AMER. & CARIB,144.0,11200.0,7.55
753,Argentina,2021-11-09,64045422.0,36195625.0,27543343.0,12,45847428.0,78.94799463996105,LATIN AMER. & CARIB,144.0,11200.0,7.55
751,Argentina,2021-11-07,63444791.0,35923771.0,27320117.0,3,45847428.0,78.355040985069,LATIN AMER. & CARIB,144.0,11200.0,7.55
724,Argentina,2021-10-11,55024369.0,30618540.0,24489389.0,8,45847428.0,66.78354999543268,LATIN AMER. & CARIB,144.0,11200.0,7.55
677,Argentina,2021-08-25,41844913.0,28181108.0,13663128.0,97,45847428.0,61.46715143977106,LATIN AMER. & CARIB,144.0,11200.0,7.55
722,Argentina,2021-10-09,54870209.0,30589384.0,24363997.0,5,45847428.0,66.71995646080735,LATIN AMER. & CARIB,144.0,11200.0,7.55
692,Argentina,2021-09-09,47547136.0,29081356.0,18464983.0,51,45847428.0,63.430725056158,LATIN AMER. & CARIB,144.0,11200.0,7.55
